Pathway,Metadata_treatment,mean_score,median_score,score_std,n_scored_cells,n_score_plates,mean_cell_count,median_cell_count,mean_relative_cell_count,median_relative_cell_count,viability_std,n_treatment_wells,n_viability_plates
Others,UCD-0159279,0.9559787425618459,0.9999776509949331,0.1297118479638283,48,3,16.0,13.0,0.0744218129964143,0.06649616368286446,0.029404429832378825,3,3
Others,UCD-0159280,0.16119298925414355,0.05245339232357404,0.22617531889424503,819,4,204.75,197.5,0.9535795809876662,0.9583219526730067,0.04588496034130627,4,4
Others,UCD-0159282,0.9801621331989386,0.9999426763358576,0.081227515440854,198,4,49.5,34.0,0.2329727748501487,0.1866900148693834,0.18178016465167948,4,4
Others,UCD-0159286,0.9861928124716629,0.9861928124716629,,1,1,1.0,1.0,0.005115089514066497,0.005115089514066497,,1,1
Others,UCD-0159293,0.3610649911292491,0.2951056443247744,0.31409513472797235,822,4,205.5,202.0,0.9590957205468893,0.9864540949925472,0.11122495158875538,4,4
Others,UCD-0159342,0.28450061865059173,0.14127800352678757,0.30825147228791416,671,4,167.75,177.0,0.8223263196764256,0.8627510398098633,0.15810437045716766,4,4
Others,UCD-0159351,0.1445887024207281,0.02311108569661876,0.2332156089495998,888,4,222.0,222.5,1.0824400266845071,1.0766388174807198,0.10496524901955928,4,4
Others,UCD-0159359,0.8584731066902558,0.9708322050172475,0.22979140471918602,723,4,180.75,174.5,0.9032274853092803,0.92096546012905,0.05906566892593798,4,4
Others,UCD-0159361,0.7799901547992171,0.949558261604118,0.2981140677949224,906,4,226.5,237.0,1.109449202443305,1.2083755290696165,0.27010199538953666,4,4
Others,UCD-0159364,0.2375226625340119,0.07967046051687557,0.29697664911815336,756,4,189.0,188.0,0.9208613371733363,0.9212908496732026,0.08218129297280707,4,4
Others,UCD-0159397,0.2050837895679669,0.01987925374152859,0.3249156832335589,621,4,155.25,156.5,0.7235904551841102,0.7211957098863757,0.11964728787467277,4,4
Others,UCD-0159409,0.9694219925740604,0.998575824139516,0.09575484114463668,507,4,126.75,122.5,0.7108481087701133,0.6931291866028708,0.1763845422464942,4,4
Others,UCD-0159443,0.8877708811184992,0.9818619383325008,0.2003248339180274,602,4,150.5,150.5,0.8466576810447909,0.8013652312599682,0.13803874310677422,4,4
Others,UCD-0159445,0.44226492185334276,0.3092564345428108,0.43382405872606805,3,1,3.0,3.0,0.016,0.016,,1,1
Others,UCD-0159458,0.6462563925226518,0.7573917394329959,0.3359569889557439,574,4,143.5,166.0,0.7613172059046268,0.8492554163754638,0.3682602333307624,4,4
Others,UCD-0159486,0.9446007552859788,0.9994557358929892,0.1342622849189131,576,4,144.0,158.0,0.9049643166280139,0.8284985742487387,0.3268329407212868,4,4
