Metadata_treatment,Pathway,mean_logit_score,mean_relative_cell_count,mean_average_precision,corrected_p_value,-log10(p-value),hit
UCD-0001925,Epigenetics,0.5776960040026369,0.5489326148459673,1.0,0.0027641070585855,2.5584451400053156,False
UCD-0159428,Apoptosis,0.1437124401386361,0.7218280448111476,0.7134920634920635,0.0448414145096609,1.3483206961651315,False
UCD-0159420,Angiogenesis,0.0151880097011894,0.6222103376460448,0.6073006854256854,0.0677517970751053,1.1690791809044627,False
UCD-0159412,Apoptosis,3.261739866158687e-07,0.0048472075869336,0.2954545454545454,0.2258919163028752,0.6460993103274033,False
UCD-0001098,Neuronal Signaling,0.1609263281689471,0.9500420131234888,0.5814574314574315,0.0731519403106119,1.1357741499895764,False
UCD-0159664,Epigenetics,0.1868204396922776,0.9358576293743522,0.4025974025974025,0.2466165413533834,0.6079777972554067,False
UCD-0159405,Metabolism,0.1950792756188837,0.915507436681944,0.1893442205942206,0.6608058608058608,0.1799261138348331,False
UCD-0159401,Angiogenesis,0.1765220483603227,0.9931039634801144,0.7638888888888888,0.0194832194832194,1.7103392770124284,False
UCD-0159396,DNA Damage,0.4663345887968183,0.9965748682522502,0.8982142857142857,0.010298273155416,1.98723559295969,False
UCD-0159440,Protein Tyrosine Kinase,,,,,,False
UCD-0001966,Others,,,,,,False
UCD-0159427,Apoptosis,,,,,,False
UCD-0001927,Epigenetics,0.967565070822416,0.9018493186901436,0.6602272727272727,0.0502759043531575,1.298640108656559,False
UCD-0159472,TGF-beta/Smad,0.2527974770117688,0.6883360009940249,0.9097222222222222,0.010298273155416,1.98723559295969,False
UCD-0018183,Proteases,0.1993284698511397,0.9920321194399632,0.4518849206349206,0.1868756243756243,0.728447343295052,False
UCD-0159522,Proteases,0.3004574739023935,0.7356603498826765,0.7652777777777778,0.0303478904515174,1.5178714923022951,False
UCD-0159553,PI3K/Akt/mTOR,0.3032113659611647,0.1615576580286638,0.7343253968253969,0.040347711989503,1.394181087918541,False
UCD-0159546,Ubiquitin,0.2349187798815774,1.0300586865683825,0.7775974025974026,0.0259478741154133,1.5858982176908607,False
UCD-0159538,MAPK,0.0859138950255536,0.5136505699997693,0.9583333333333334,0.0027641070585855,2.5584451400053156,False
UCD-0159530,Proteases,0.1401155173061275,0.8394122018467577,0.5431394993894993,0.0997861199203481,1.0009298641357447,False
UCD-0159523,Proteases,0.2007547536520756,0.7408832128019696,1.0,0.0027641070585855,2.5584451400053156,False
UCD-0159591,Epigenetics,0.0802360709306444,1.0448494458110342,0.5343434343434343,0.0997861199203481,1.0009298641357447,False
UCD-0159584,Cell Cycle,0.2857008523559608,1.08526622468238,0.5692460317460317,0.0780735509977387,1.1074960672902194,False
UCD-0159576,Others,0.4822885958141235,0.969349136345644,0.6268939393939393,0.0547226053298927,1.2618332341413614,False
UCD-0159568,Others,0.17357012635093,1.102014698616265,0.6472222222222223,0.0502759043531575,1.298640108656559,False
UCD-0159560,DNA Damage,0.1891471661822094,0.515959383505048,0.6214285714285714,0.0547226053298927,1.2618332341413614,False
UCD-0159552,Protein Tyrosine Kinase,0.1978008338756756,1.005948576896985,0.3021990740740741,0.3178460494374984,0.497783182119814,False
UCD-0159545,Autophagy,0.1487361201176338,0.8646663360863673,0.3380189255189255,0.2782805429864253,0.5555171579096939,False
UCD-0159537,Others,,,,,,False
UCD-0159529,Cell Cycle,0.1919606529470446,0.0736886416786434,0.6620370370370371,0.0612747252747252,1.2127186272311403,False
UCD-0159521,Others,0.1176449390961468,0.7249770083508198,1.0,0.0027641070585855,2.5584451400053156,False
UCD-0159480,Transmembrane Transporters,0.6370938354967194,0.4397214956147099,0.5,0.1060116354234001,0.9746464656516696,False
UCD-0159513,Others,0.4182497927150356,0.8722134854632098,0.8625,0.010298273155416,1.98723559295969,False
UCD-0159505,Others,0.2524582032066113,0.9898711405555816,0.4638888888888888,0.1725788831051989,0.7630123460017288,False
UCD-0159497,PI3K/Akt/mTOR,0.2701731619084627,0.9535298215229296,0.6472222222222221,0.0502759043531575,1.298640108656559,False
UCD-0159489,Epigenetics,,,,,,False
UCD-0159481,Cell Cycle,0.5356686987200453,0.7874119648496654,0.6727272727272726,0.0496199835406883,1.3043433841224432,False
UCD-0159473,Epigenetics,0.623138299821281,1.0099001611204628,0.9097222222222222,0.010298273155416,1.98723559295969,False
UCD-0159465,Metabolism,0.4648778528854145,0.951824911555304,0.625,0.0547226053298927,1.2618332341413614,False
